Name,Name-PT,Type,Type-PT,Subtype,Subtype-PT,Group,Group-PT,Control,Control-PT,Rtg,lNum,lName,,Cost,Source,Source-PT,Prerequsites,Description,Description-PT,House Rules,OrgRef
Builder,Construtor,Archetype,Arquétipo,,,,,,,,,,,0,Werewolf Players Guide,,,,,,
Builder,Construtor,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Wyld,,,,,,
Builder,Construtor,Archetype,Arquétipo,,,,,,,,,,,0,Players Guide to Garou,,,,,,
Bully,Valentão,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Hunt,,,,,,
Bully,Valentão,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Hunt Player's Guide,,,,,,
Bully,Valentão,Archetype,Arquétipo,,,,,,,,,,,0,Wraith Players Guide,,,,,,
Bumpkin,Caipira,Archetype,Arquétipo,,,,,,,,,,,0,Changeling the Dreaming,,,,,,
Bumpkin,Caipira,Archetype,Arquétipo,,,,,,,,,,,0,Changeling the Dreaming C20,,,,,,
Bumpkin,Caipira,Archetype,Arquétipo,,,,,,,,,,,0,Orpheus,,,,,,
Bureaucrat,Burocrata,Archetype,Arquétipo,,,,,,,,,,,0,Werewolf Players Guide,,,,,,
Bureaucrat,Burocrata,Archetype,Arquétipo,,,,,,,,,,,0,Laws of Resurrection,,,,,,
Bureaucrat,Burocrata,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Wyld,,,,,,
Bureaucrat,Burocrata,Archetype,Arquétipo,,,,,,,,,,,0,Oblivion,,,,,,
Bureaucrat,Burocrata,Archetype,Arquétipo,,,,,,,,,,,0,Orpheus,,,,,,
Bureaucrat,Burocrata,Archetype,Arquétipo,,,,,,,,,,,0,Players Guide to Garou,,,,,,
Bureaucrat,Burocrata,Archetype,Arquétipo,,,,,,,,,,,0,Renegades,,,,,,
Bureaucrat,Burocrata,Archetype,Arquétipo,,,,,,,,,,,0,Shadow Player's Guide,,,,,,
Bureaucrat,Burocrata,Archetype,Arquétipo,,,,,,,,,,,0,Wraith 20,,,,,,
Bureaucrat,Burocrata,Archetype,Arquétipo,,,,,,,,,,,0,Wraith 2nd,,,,,,
Cannibal,Canibal,Archetype,Arquétipo,,,,,,,,,,,0,The Shining Host Player's Guide,,,,,,
Cannibal,Canibal,Archetype,Arquétipo,,,,,,,,,,,0,Changeling the Dreaming C20,,,,,,
Cannibal,Canibal,Archetype,Arquétipo,,,,,,,,,,,0,Players Guide for Changeling the Dreaming,,,,,,
Capitalist,Capitalista,Archetype,Arquétipo,,,,,,,,,,,0,Vampire The Masquerade V20,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Werewolf Players Guide,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Book of Secrets M20,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Demon the Fallen,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Hunter the Reckoning,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Laws of Ascension,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Laws of Resurrection,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the East,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Hunt,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Hunt Player's Guide,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Reckoning,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Wyld,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Wyld West,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Mage the Ascension,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Oblivion,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Orpheus,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Players Guide to Garou,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Renegades,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Shadow Player's Guide,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Vampire the Dark Ages V20,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Vampire the Masquerade,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Vampire The Masquerade V20,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Werewolf the Apocalypse W20,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Wraith 20,,,,,,
Caregiver,Cuidador,Archetype,Arquétipo,,,,,,,,,,,0,Wraith 2nd,,,,,,
Caretaker,Zelador,Archetype,Arquétipo,,,,,,,,,,,0,The Long Night,,,,,,
Caretaker,Zelador,Archetype,Arquétipo,,,,,,,,,,,0,Dark Ages Inquisitor,,,,,,
Caretaker,Zelador,Archetype,Arquétipo,,,,,,,,,,,0,Dark Ages Vampire,,,,,,
Celebrant,Celebrante,Archetype,Arquétipo,,,,,,,,,,,0,The Long Night,,,,,,
Celebrant,Celebrante,Archetype,Arquétipo,,,,,,,,,,,0,Dark Ages Inquisitor,,,,,,
Celebrant,Celebrante,Archetype,Arquétipo,,,,,,,,,,,0,Dark Ages Vampire,,,,,,
Celebrant,Celebrante,Archetype,Arquétipo,,,,,,,,,,,0,Hunter the Reckoning,,,,,,
Celebrant,Celebrante,Archetype,Arquétipo,,,,,,,,,,,0,Laws of Ascension,,,,,,
Celebrant,Celebrante,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the East,,,,,,
Celebrant,Celebrante,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Reckoning,,,,,,
Celebrant,Celebrante,Archetype,Arquétipo,,,,,,,,,,,0,Mage the Ascension,,,,,,
Celebrant,Celebrante,Archetype,Arquétipo,,,,,,,,,,,0,Orpheus,,,,,,
Celebrant,Celebrante,Archetype,Arquétipo,,,,,,,,,,,0,Players Guide to Garou,,,,,,
Celebrant,Celebrante,Archetype,Arquétipo,,,,,,,,,,,0,Vampire the Dark Ages V20,,,,,,
Celebrant,Celebrante,Archetype,Arquétipo,,,,,,,,,,,0,Vampire the Masquerade,,,,,,
Celebrant,Celebrante,Archetype,Arquétipo,,,,,,,,,,,0,Vampire The Masquerade V20,,,,,,
Celebrant,Celebrante,Archetype,Arquétipo,,,,,,,,,,,0,Werewolf the Apocalypse W20,,,,,,
Cerenaic,Cerenaico,Archetype,Arquétipo,,,,,,,,,,,0,Players Guide for Changeling the Dreaming,,,,,,
Chameleon,Camaleão,Archetype,Arquétipo,,,,,,,,,,,0,Vampire The Masquerade V20,,,,,,
Chameleon,Camaleão,Archetype,Arquétipo,,,,,,,,,,,0,Vampire the Dark Ages V20,,,,,,
Charlatan,Charlatão,Archetype,Arquétipo,,,,,,,,,,,0,Changeling the Dreaming C20,,,,,,
Chief,Chefe,Archetype,Arquétipo,,,,,,,,,,,0,The Shining Host Player's Guide,,,,,,
Chief,Chefe,Archetype,Arquétipo,,,,,,,,,,,0,Changeling the Dreaming C20,,,,,,
Chief,Chefe,Archetype,Arquétipo,,,,,,,,,,,0,Players Guide for Changeling the Dreaming,,,,,,
Child,Criança,Archetype,Arquétipo,,,,,,,,,,,0,The Long Night,,,,,,
Child,Criança,Archetype,Arquétipo,,,,,,,,,,,0,Demon the Fallen,,,,,,
Child,Criança,Archetype,Arquétipo,,,,,,,,,,,0,Hunter the Reckoning,,,,,,
