name,translation
Architect,Arquiteto
Architect,Arquiteto
Architect,Arquiteto
Artist,Artista
Artist,Artista
Artiste,Artista
Aspirant,Aspirante
"Au Courant",Antenado
Autist,Autista
Autist,Autista
Autocrat,Autocrata
Autocrat,Autocrata
Autocrat,Autocrata
Autocrat,Autocrata
Autocrat,Autocrata
Autocrat,Autocrata
Autocrat,Autocrata
Autocrat,Autocrata
Autocrat,Autocrata
Autocrat,Autocrata
Autocrat,Autocrata
Autocrat,Autocrata
Autocrat,Autocrata
Autocrat,Autocrata
Avant-Guard,Vanguarda
Avant-Guard,Vanguarda
Avant-Guard,Vanguarda
Avant-Guard,Vanguarda
Avant-Guard,Vanguarda
Avant-Guard,Vanguarda
Avant-Guard,Vanguarda
Avant-Guard,Vanguarda
Avarice,Avareza
Bandit,Bandido
Bandit,Bandido
Barbarian,Bárbaro
Barbarian,Bárbaro
Barbarian,Bárbaro
Barbarian,Bárbaro
Barbarian,Bárbaro
Barterer,Comerciante
Beast,Fera
Beast,Fera
Beast,Fera
Beast,Fera
Benefactor,Benfeitor
Benefactor,Benfeitor
Beta,Beta
"Big Bad Wolf","Lobo Mau"
"Black Widow","Viúva Negra"
Bogle,Bogle
"Bon Vivant","Bon Vivant"
"Bon Vivant","Bon Vivant"
"Bon Vivant","Bon Vivant"
"Bon Vivant","Bon Vivant"
"Bon Vivant","Bon Vivant"
"Bon Vivant","Bon Vivant"
"Bon Vivant","Bon Vivant"
"Bon Vivant","Bon Vivant"
"Bon Vivant","Bon Vivant"
"Bon Vivant","Bon Vivant"
"Bon Vivant","Bon Vivant"
"Bon Vivant","Bon Vivant"
"Bon Vivant","Bon Vivant"
"Bon Vivant","Bon Vivant"
"Bon Vivant","Bon Vivant"
"Bon Vivant","Bon Vivant"
"Bon Vivant","Bon Vivant"
Brave,Corajoso
Brave,Corajoso
Bravo,Bravo
Bravo,Bravo
Bravo,Bravo
Bravo,Bravo
Bravo,Bravo
Bravo,Bravo
Bravo,Bravo
Bravo,Bravo
Bravo,Bravo
Bravo,Bravo
Bravo,Bravo
Bravo,Bravo
Bravo,Bravo
Bravo,Bravo
Bravo,Bravo
Bravo,Bravo
Bravo,Bravo
Bravo,Bravo
Bravo,Bravo
Bravo,Bravo
Brute,Bruto
Builder,Construtor
Builder,Construtor
Builder,Construtor
Bully,Valentão
Bully,Valentão
Bully,Valentão
Bumpkin,Caipira
Bumpkin,Caipira
Bumpkin,Caipira
Bureaucrat,Burocrata
Bureaucrat,Burocrata
Bureaucrat,Burocrata
Bureaucrat,Burocrata
Bureaucrat,Burocrata
Bureaucrat,Burocrata
Bureaucrat,Burocrata
Bureaucrat,Burocrata
Bureaucrat,Burocrata
Bureaucrat,Burocrata
Cannibal,Canibal
Cannibal,Canibal
Cannibal,Canibal
Capitalist,Capitalista
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caregiver,Cuidador
Caretaker,Zelador
Caretaker,Zelador
Caretaker,Zelador
Celebrant,Celebrante
Celebrant,Celebrante
Celebrant,Celebrante
Celebrant,Celebrante
Celebrant,Celebrante
Celebrant,Celebrante
Celebrant,Celebrante
Celebrant,Celebrante
Celebrant,Celebrante
Celebrant,Celebrante
Celebrant,Celebrante
Celebrant,Celebrante
Celebrant,Celebrante
Celebrant,Celebrante
Cerenaic,Cerenaico
Chameleon,Camaleão
Chameleon,Camaleão
Charlatan,Charlatão
Chief,Chefe
Chief,Chefe
Chief,Chefe
Child,Criança
Child,Criança
Child,Criança
Child,Criança
Child,Criança
Child,Criança
Child,Criança
Child,Criança
Child,Criança
Child,Criança
Child,Criança
Child,Criança
Child,Criança
Child,Criança
Child,Criança
Child,Criança
Child,Criança
Churl,Rústico
Climber,Alpinista
Comedian,Comediante
Commando,Comando
Competitor,Competidor
Competitor,Competidor
Competitor,Competidor
Competitor,Competidor
Competitor,Competidor
Competitor,Competidor
Competitor,Competidor
Competitor,Competidor
Competitor,Competidor
Competitor,Competidor
Competitor,Competidor
Competitor,Competidor
Competitor,Competidor
Competitor,Competidor
Competitor,Competidor
Competitor,Competidor
Competitor,Competidor
Competitor,Competidor
Compulsive,Compulsivo
Comrade,Camarada
Comrade,Camarada
Comrade,Camarada
Confessor,Confessor
Confessor,Confessor
Confidant,Confidente
Confidant,Confidente
Confidant,Confidente
Confidant,Confidente
Confidant,Confidente
Conformist,Conformista
Conformist,Conformista
Conformist,Conformista
Conformist,Conformista
Conformist,Conformista
Conformist,Conformista
Conformist,Conformista
Conformist,Conformista
Conformist,Conformista
Conformist,Conformista
Conformist,Conformista
Conformist,Conformista
Conformist,Conformista
Conformist,Conformista
Conniver,Conivente
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conniver,Conspirador
Conqueror,Conquistador
Contrary,Contrário
Contrary,Contrário
Contrary,Contrário
Councelor,Conselheiro
Councelor,Conselheiro
Courtier,Cortesão
Courtier,Cortesão
Coward,Covarde
Coward,Covarde
Crackerjack,Perito
Crackerjack,Perito
Crafter,Artesão
Crafter,Artesão
Craven,Covarde
"Creep Show","Show de Horrores"
"Creep Show","Espetáculo Assustador"
Critic,Crítico
Critic,Crítico
Critic,Crítico
Critic,Crítico
Critic,Crítico
Critic,Crítico
Critic,Crítico
Critic,Crítico
Critic,Crítico
Critic,Crítico
Crusader,Cruzado
Crusader,Cruzado
Cub,Filhote
Cub,Filhote
Cub,Filhote
Cub,Filhote
Cub,Filhote
Curmudgeon,Mesquinho
Curmudgeon,Rabugento
Curmudgeon,Rabugento
Curmudgeon,Rabugento
Curmudgeon,Rabugento
Curmudgeon,Rabugento
Curmudgeon,Rabugento
Curmudgeon,Rabugento
Curmudgeon,Rabugento
Curmudgeon,Rabugento
Curmudgeon,Rabugento
Curmudgeon,Rabugento
Curmudgeon,Rabugento
Curmudgeon,Rabugento
Curmudgeon,Rabugento
Curmudgeon,Rabugento
Curmudgeon,Rabugento
Cynic,Cínico
Dabbler,Amador
Dabbler,Diletante
Dabbler,Diletante
Dabbler,Diletante
"Damned Soul","Alma Amaldiçoada"
Dandy,Dândi
Dandy,Almofadinha
Daredevil,Temerário
Deceiver,Enganador
Deceiver,Enganador
Deceiver,Enganador
Defender,Defensor
Defender,Defensor
Defender,Defensor
Defender,Defensor
Defender,Defensor
Delver,Explorador
Delver,Explorador
Demon,Demônio
Demon,Demônio
Dependent,Dependente
Deputy,Delegado
Deputy,Delegado
Destroyer,Destruidor
Deviant,Divergente
Deviant,Desviante
Deviant,Desviante
Deviant,Desviante
Deviant,Desviante
Deviant,Desviante
Deviant,Desviante
Deviant,Desviante
Deviant,Desviante
Deviant,Desviante
Deviant,Desviante
Deviant,Desviante
Deviant,Desviante
Deviant,Desviante
Deviant,Desviante
Deviant,Desviante
Devourer,Devorador
Dictator,Ditador
Dictator,Ditador
Dictator,Ditador
Director,Diretor
Director,Diretor
Director,Diretor
Director,Diretor
Director,Diretor
Director,Diretor
Director,Diretor
Director,Diretor
Director,Diretor
Director,Diretor
Director,Diretor
Director,Diretor
Director,Diretor
Director,Diretor
Director,Diretor
Director,Diretor
Director,Diretor
Director,Diretor
Director,Diretor
Disincarnate,Desencarnar
Dreamer,Sonhador
Dreamer,Sonhador
Dreamer,Sonhador
Dreamer,Sonhador
Dreamer,Sonhador
Dreamer,Sonhador
Drifter,Derivante
Driven,Dirigido
Eccentric,Excêntrico
Echo,Eco
Elitist,Elitista
Elitist,Elitista
Empath,Empata
Engine,Motor
Enigma,Enigma
Enigma,Enigma
Enigma,Enigma
Enigma,Enigma
Enigma,Enigma
Entertainer,"Artista de Entretenimento"
Entrepreneur,Empreendedor
Envy,Inveja
Eunuch,Eunuco
Evangelist,Evangelista
Explorer,Explorador
Explorer,Explorador
Explorer,Explorador
Explorer,Explorador
Explorer,Explorador
Explorer,Explorador
Explorer,Explorador
Explorer,Explorador
Explorer,Explorador
Explorer,Explorador
Explorer,Explorador
Explorer,Explorador
Explorer,Explorador
Explorer,Explorador
Explorer,Explorador
Explorer,Explorador
Explorer,Explorador
Explorer,Explorador
Explorer,Explorador
"Eye of the Storm","Olho da Tempestade"
"Eye of the Storm","Olho da Tempestade"
"False Friend","Falso Amigo"
Fanatic,Fanático
Fanatic,Fanático
Fanatic,Fanático
Fanatic,Fanático
Fanatic,Fanático
Fanatic,Fanático
Fanatic,Fanático
Fanatic,Fanático
Fanatic,Fanático
Fanatic,Fanático
Fanatic,Fanático
Fanatic,Fanático
Fanatic,Fanático
Fanatic,Fanático
Fanatic,Fanático
Fanatic,Fanático
Fanatic,Fanático
Fanatic,Fanático
Fanatic,Fanático
Fanatic,Fanático
Fatalist,Fatalista
Fatalist,Fatalista
Fatalist,Fatalista
Fatalist,Fatalista
Fatalist,Fatalista
Fearless,Destemido
Fiend,Demônio
Follower,Seguidor
Follower,Seguidor
Follower,Seguidor
Follower,Seguidor
Follower,Seguidor
Follower,Seguidor
Follower,Seguidor
Follower,Seguidor
Fool,Bobo
Fool,Bobo
Fool,Bobo
Fool,Bobo
Fool,Bobo
Fool,Bobo
Fool,Bobo
Fop,Almofadinha
Forked-Tongue,"Língua Bífida"
Forked-Tongue,"Língua Bífida"
Forked-Tongue,"Língua Bífida"
Freak,Aberração
Freak,Aberração
Friend,Amigo
"Future Reincarnation","Reencarnação Futura"
Futurist,Futurista
Futurist,Futurista
Gadfly,Provocador
Gallant,Galante
Gallant,Galante
Gallant,Galante
Gallant,Galante
Gallant,Galante
Gallant,Galante
Gallant,Galante
Gallant,Galante
Gallant,Galante
Gallant,Galante
Gallant,Galante
Gallant,Galante
Gallant,Galante
Gallant,Galante
Gallant,Galante
Gallant,Galante
Gallant,Galante
Gallant,Galante
Gallant,Galante
Gallant,Galante
Gambler,Apostador
Gambler,Apostador
Gambler,Apostador
Gambler,Apostador
Gambler,Apostador
Gambler,Apostador
Gambler,Apostador
Gambler,Apostador
Gambler,Apostador
Gambler,Apostador
Gamester,Jogador
Gatekeeper,"Guardião do Portal"
Gluttony,Gula
Grotesque,Grotesco
Grotesque,Grotesco
Grotesque,Grotesco
Grower,Cultivador
Grower,Cultivador
Grower,Cultivador
Guardian,Guardião
Guardian,Guardião
Guru,Guru
Guru,Guru
Guru,Guru
Hacker,Hacker
Healer,Curandeiro
Healer,Curandeiro
Healer,Curandeiro
Hedonist,Hedonista
Hedonist,Hedonista
Hedonist,Hedonista
Hedonist,Hedonista
Heretic,Herege
Hermit,Eremita
Hermit,Eremita
Hermit,Eremita
Hoarder,Acumulador
Hoarder,Acumulador
Hoarder,Acumulador
Honest-Abe,Honesto
Humanist,Humanista
Humbug,Embusteiro
Hunter,Caçador
Hunter,Caçador
Hunter,Caçador
Hunter,Caçador
Hypochondric,Hipocondríaco
Idealist,Idealista
Idealist,Idealista
Idealist,Idealista
Idealist,Idealista
Idealist,Idealista
Idealist,Idealista
Idealist,Idealista
Informer,Informante
Ingenue,Ingênua
Innocent,Inocente
Innovator,Inovador
Innovator,Inovador
Inquisitor,Inquisidor
Jester,"Bobo da Corte"
Jester,"Bobo da Corte"
Jester,"Bobo da Corte"
Jester,"Bobo da Corte"
Jester,"Bobo da Corte"
Jester,"Bobo da Corte"
Jester,"Bobo da Corte"
Jester,"Bobo da Corte"
Jester,"Bobo da Corte"
Jester,"Bobo da Corte"
Jester,"Bobo da Corte"
Jester,"Bobo da Corte"
Jester,"Bobo da Corte"
Jester,"Bobo da Corte"
Jester,"Bobo da Corte"
Jobsworth,"Burocrata Inflexível"
Jongleur,Jogral
Judas,Judas
Judge,Juiz
Judge,Juiz
Judge,Juiz
Judge,Juiz
Judge,Juiz
Judge,Juiz
Judge,Juiz
Judge,Juiz
Judge,Juiz
Judge,Juiz
Judge,Juiz
Judge,Juiz
Judge,Juiz
Judge,Juiz
Judge,Juiz
Judge,Juiz
Judge,Juiz
Judge,Juiz
Kahuna,Kahuna
Kid,Criança
Knave,Vilão
Knave,Vilão
Knight,Cavaleiro
Leader,Líder
Leader,Líder
Leader,Líder
Leader,Líder
Leader,Líder
Leader,Líder
Leech,Sanguessuga
Leech,Sanguessuga
Leech,Sanguessuga
Legalist,Legalista
Legalist,Legalista
Listener,Ouvinte
"Lone Wolf","Lobo Solitário"
"Lone Wolf","Lobo Solitário"
"Lone Wolf","Lobo Solitário"
"Lone Wolf","Lobo Solitário"
Loner,Solitário
Loner,Solitário
Loner,Solitário
Loner,Solitário
Loner,Solitário
Loner,Solitário
Loner,Solitário
Loner,Solitário
Loner,Solitário
Loner,Solitário
Loner,Solitário
Loner,Solitário
Loner,Solitário
Loner,Solitário
Lover,Amante
Loyalist,Legalista
Loyalist,Legalista
Lust,Luxúria
Machine,Máquina
"Mad Scientist","Cientista Louco"
Maker,Criador
Maker,Criador
Maker,Criador
Manipulator,Manipulador
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Martyr,Mártir
Masochist,Masoquista
Masochist,Masoquista
Masochist,Masoquista
Masochist,Masoquista
Masochist,Masoquista
Masochist,Masoquista
Masochist,Masoquista
Masochist,Masoquista
Masochist,Masoquista
Masochist,Masoquista
Meditator,Meditador
Meditator,Meditador
Meditator,Meditador
Meditator,Meditador
Meditator,Meditador
Meditator,Meditador
Meditator,Meditador
Megalomaniac,Megalomaníaco
Mentor,Mentor
Mentor,Mentor
Mercenary,Mercenário
Mercenary,Mercenário
Mimic,Imitador
Monkey,Macaco
Monkey,Macaco
Monster,Monstro
Monster,Monstro
Monster,Monstro
Monster,Monstro
Monster,Monstro
Monster,Monstro
Monster,Monstro
Monster,Monstro
Monster,Monstro
Monster,Monstro
Monster,Monstro
Monster,Monstro
Monster,Monstro
Monster,Monstro
"Mr. Adventure","Sr. Aventura"
Narcissist,Narcisista
Narcissist,Narcisista
Nihilist,Niilista
Nurturer,Cuidador
Nurturer,Cuidador
Obsessed,Obcecado
Omega,Ômega
Omega,Ômega
Omega,Ômega
Omega,Ômega
Optimist,Otimista
Optimist,Otimista
Optimist,Otimista
Orchid,Orquídea
Orchid,Orquídea
Outcast,Pária
Outcast,Pária
Outcast,Pária
Outcast,Pária
Outlaw,"Fora da Lei"
Outlaw,"Fora da Lei"
Outsider,Forasteiro
Outsider,Forasteiro
Packmate,"Companheiro de Alcateia"
Paladin,Paladino
Paladin,Paladino
Paladin,Paladino
Panderer,Alcoviteiro
Panderer,Alcoviteiro
Pandora,Pandora
Pandora,Pandora
Paragon,Paradigma
Paragon,Paradigma
Paranoid,Paranoico
Parasite,Parasita
Parent,Progenitor
Parent,Progenitor
Patrician,Patrício
Patron,Patrono
Peacock,Pavão
Peacock,Pavão
Peacock,Pavão
Pedagogue,Pedagogo
Pedagogue,Pedagogo
Pedagogue,Pedagogo
Pedagogue,Pedagogo
Pedagogue,Pedagogo
Pedagogue,Pedagogo
Pedagogue,Pedagogo
Pedagogue,Pedagogo
Pedagogue,Pedagogo
Pedagogue,Pedagogo
Pedagogue,Pedagogo
Pedagogue,Pedagogo
Penitent,Penitente
Penitent,Penitente
Penitent,Penitente
Penitent,Penitente
Penitent,Penitente
Penitent,Penitente
Penitent,Penitente
Penitent,Penitente
Penitent,Penitente
Penitent,Penitente
Penitent,Penitente
Penitent,Penitente
Penitent,Penitente
Penitent,Penitente
Penitent,Penitente
Penitent,Penitente
Penitent,Penitente
Penitent,Penitente
Penitent,Penitente
Penitent,Penitente
Perfectionist,Perfeccionista
Perfectionist,Perfeccionista
Perfectionist,Perfeccionista
Perfectionist,Perfeccionista
Perfectionist,Perfeccionista
Perfectionist,Perfeccionista
Perfectionist,Perfeccionista
Perfectionist,Perfeccionista
Perfectionist,Perfeccionista
Perfectionist,Perfeccionista
Perfectionist,Perfeccionista
Perfectionist,Perfeccionista
Perfectionist,Perfeccionista
Perfectionist,Perfeccionista
Perfectionist,Perfeccionista
Perfectionist,Perfeccionista
Philanthropist,Filantropo
Philosopher,Filósofo
Pishogue,Pishogue
"Plague Dog","Cão da Praga"
Poltroon,Poltrão
Pragmatist,Pragmático
Pragmatist,Pragmático
Praise-Seeker,"Buscador de Elogios"
Prankster,Brincalhão
Predator,Predador
Predator,Predador
Predator,Predador
Predator,Predador
Predator,Predador
Pride,Orgulho
Progressive,Progressista
Prophet,Profeta
Proselytizer,Proselitista
Protector,Protetor
Provider,Provedor
Pusher,Traficante
Pusher,Traficante
Questor,Questor
Quiescent,Adormecido
Ragamuffin,Maltrapilho
Rager,Furioso
Raider,Saqueador
Raider,Saqueador
Raider,Saqueador
Rake,Libertino
Rake,Libertino
Rake,Libertino
Rationalist,Racionalista
Rationalist,Racionalista
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
Rebel,Rebelde
"Recognition Seeker","Buscador de Reconhecimento"
Reformist,Reformista
Regent,Regente
Regent,Regente
Reincarnation,Reencarnação
"Reluctant Garou","Garou Relutante"
"Reluctant Garou","Garou Relutante"
"Reluctant Garou","Garou Relutante"
"Reluctant Garou","Garou Relutante"
"Reluctant Reborn","Renascido Relutante"
Renuncate,Renunciante
Renuncate,Renunciante
Reveler,Farrista
Revolutionary,Revolucionário
Riddler,Enigmista
Riddler,Enigmista
Ringleader,"Cabeça de Grupo"
Ringleader,"Cabeça de Grupo"
Rogue,Vigarista
Rogue,Vigarista
Rogue,Vigarista
Rogue,Vigarista
Rogue,Vigarista
Rogue,Vigarista
Rogue,Vigarista
Rogue,Vigarista
Rogue,Vigarista
Rogue,Vigarista
Rogue,Vigarista
Rogue,Vigarista
Rogue,Vigarista
Rogue,Vigarista
Rogue,Vigarista
Rogue,Vigarista
Romantic,Romântico
Romantic,Romântico
Rumormonger,Fofoqueiro
Sadist,Sádico
Sadist,Sádico
Sage,Sábio
Sage,Sábio
Sage,Sábio
Sage,Sábio
Sage,Sábio
Sage,Sábio
Sage,Sábio
Saint,Santo
Saint,Santo
Saint,Santo
Saint,Santo
Savage,Selvagem
Savage,Selvagem
Savior,Salvador
Savior,Salvador
Scalp-Taker,"Caçador de Escalpos"
Scalp-Taker,"Caçador de Escalpos"
Scalp-Taker,"Caçador de Escalpos"
Schismatic,Cismático
Scientist,Cientista
Scientist,Cientista
Scientist,Cientista
Scientist,Cientista
Scientist,Cientista
Scientist,Cientista
Scientist,Cientista
Scientist,Cientista
Scientist,Cientista
Scoundrel,Patife
Scoundrel,Patife
Scout,Batedor
Scout,Batedor
Scout,Batedor
Sensualist,Sensualista
Sensualist,Sensualista
Sensualist,Sensualista
Sensualist,Sensualista
Serpent,Serpente
Shade,Sombra
"Show Off",Exibicionista
"Show Off",Exibicionista
"Show Off",Exibicionista
"Show Off",Exibicionista
Simpleton,Simplório
Slave,Escravo
Slave,Escravo
Slob,Desleixado
Sloth,Preguiça
Socialite,Socialite
Sociopath,Sociopata
Soldier,Soldado
Soldier,Soldado
Soldier,Soldado
Soldier,Soldado
Soldier,Soldado
Soldier,Soldado
Soldier,Soldado
Somnambulist,Sonâmbulo
Somnambulist,Sonâmbulo
Sophist,Sofista
Sophomore,Novato
Sorcerer,Feiticeiro
Spiritguide,"Guia Espiritual"
Spiritguide,"Guia Espiritual"
Spiritguide,"Guia Espiritual"
Spoiler,Estraga-Prazeres
Spoiler,Estraga-Prazeres
Spoiler,Estraga-Prazeres
Spy,Espião
Squire,Escudeiro
Squire,Escudeiro
Stoic,Estoico
Stoic,Estoico
Stormcrow,"Corvo da Tempestade"
Stormcrow,"Corvo da Tempestade"
Storyteller,Narrador
Storyteller,Narrador
Storyteller,Narrador
Strategist,Estrategista
Supplicant,Suplicante
Supplicant,Suplicante
Supplicant,Suplicante
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Survivor,Sobrevivente
Swindler,Trapaceiro
Swindler,Trapaceiro
Sycophant,Bajulador
Teacher,Professor
Teacher,Professor
Terror,Terror
"The Voice of Hope","A Voz da Esperança"
"The Voice of Hope","A Voz da Esperança"
Theorist,Teórico
Theorist,Teórico
Thrill-Seeker,"Buscador de Emoções"
Thrill-Seeker,"Buscador de Emoções"
Thrill-Seeker,"Buscador de Emoções"
Thrill-Seeker,"Buscador de Emoções"
Thrill-Seeker,"Buscador de Emoções"
Thrill-Seeker,"Buscador de Emoções"
Thrill-Seeker,"Buscador de Emoções"
Thrill-Seeker,"Buscador de Emoções"
Thrill-Seeker,"Buscador de Emoções"
Tormentor,Atormentador
Torturer,Torturador
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Traditional,Tradicional
Trickster,Trapaceiro
Trickster,Trapaceiro
Trickster,Trapaceiro
Trickster,Trapaceiro
Trickster,Trapaceiro
Trickster,Trapaceiro
Trickster,Trapaceiro
Trickster,Trapaceiro
Trickster,Trapaceiro
Trickster,Trapaceiro
Trickster,Trapaceiro
Trickster,Trapaceiro
Trickster,Trapaceiro
Trickster,Trapaceiro
Trickster,Trapaceiro
Trickster,Trapaceiro
Troubadour,Trovador
Troubadour,Trovador
Troublemaker,Encrenqueiro
Troublemaker,Encrenqueiro
Troublemaker,Encrenqueiro
"True Believer","Verdadeiro Crente"
"True Believer","Verdadeiro Crente"
Tycoon,Magnata
Tyrant,Tirano
Victim,Vítima
Vigilante,Vigilante
Vigilante,Vigilante
Virtuoso,Virtuoso
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Visionary,Visionário
Vitalist,Vitalista
Voyeur,Voyeur
Waif,Andarilho
Wander,Vagante
Warrior,Guerreiro
Warrior,Guerreiro
Warrior,Guerreiro
Warrior,Guerreiro
Warrior,Guerreiro
Watcher,Vigia
Wayfarer,Viajante
Wayfarer,Viajante
"Wise One",Sábio
"Wise One",Sábio
"Wise One",Sábio
Witch,Bruxa
Witch,Bruxa
Witch,Bruxa
Workaholic,"Viciado em Trabalho"
Wrath,Ira
Wretch,Desgraçado
Wretch,Desgraçado
Wretch,Desgraçado
Zealot,"Fanático Religioso"
Ananta,Ananta
Ancestors,Ancestrais
Colony,Colônia
Den-Realm,"Reino da Toca"
Fetish,Fetiche
"Freak Factor","Fator Aberração"
Jamak,Jamak
Kinfolk,Parentela
Plague,Praga
"Pure Breed","Raça Pura"
Rites,Ritos
Secrets,Segredos
Totem,Totem
Trinket,Bugiganga
"Umbral Maps","Mapas Umbrais"
Chimera,Quimera
Companion,Companheiro
Dreamers,Sonhadores
Holding,Propriedade
Household,Lar
Husk,"Casca Vazia"
"Influence: Tribal","Influência: Tribal"
Patron,Patrono
"Political Connections","Conexões Políticas"
Regard,Estima
Remembrance,Memória
"Spirit Companion","Companheiro Espiritual"
Title,Título
Totem,Totem
Treasure,Tesouro
Trod,Trilha
Vision,Visão
Allies,Aliados
Contacts,Contatos
"Influence: Bureaucracy","Influência: Burocracia"
"Influence: Church","Influência: Igreja"
