name,note,source,group,subgroup
Awaken the Inanimate,Spirit 3,Mage: The Ascension Second Edition page 218; Mage: The Ascension Revised page 187; Mage: The Ascension 20th Anniversary Edition page 607; Enlightened Grimoire p. 91,Inanimate Objects,
Awaken the Sleeping Earth,"Prime 3, Matter 3",Book of Chantries page 149; Enlightened Grimoire p. 46,Energy-Work,
Babel,"Mind 2, optional Matter 2",Hidden Lore page 51; Enlightened Grimoire p. 105,Movement and Communication,
Back Door Parole,"Life 3, Prime 1, optional Mind 2",Orphan’s Survival Guide page 127; Enlightened Grimoire p. 165,Transformations,
Back to the Earth,"Matter 4, Life 3, Prime 2",The Swashbuckler’s Handbook page 92; Hidden Lore page 51; Enlightened Grimoire p. 92,Inanimate Objects,
Balance the Scales,"Entropy 2 or 3, Life 2 or Matter 2 or Forces 2",Tradition Book: Euthanatos (First Edition) page 67; Enlightened Grimoire p. 9,Blessings and Curses,
Balefire,"Forces 3, Spirit 3, Prime 2",Infernalism: The Path of Screams page 86; Enlightened Grimoire p. 40,Elemental Magick,
Ball of Abysmal Flames,"Forces 5, Prime 4 or 5, Time 4, Matter 3",Mage: The Ascension First Edition page 223; Tradition Book: Order of Hermes (First Edition) page 67; Enlightened Grimoire p. 41,Elemental Magick,
Bambolai,"Spirit 3 or Matter 2, Prime 2",Tradition Book: Cult of Ecstasy (First Edition) page 66; Enlightened Grimoire p. 91,Inanimate Objects,
Banish Elemental,"Forces 2, Spirit 2",Hidden Lore page 17; Enlightened Grimoire p. 37,Elemental Magick,
Baptism Rune,Entropy 4,Dead Magic 2 page 100; Enlightened Grimoire p. 9,Blessings and Curses,
Battle Rune,"Correspondence 3, Life 4, Mind 3",Dead Magic 2 page 99; Enlightened Grimoire p. 59,Enhanced Combat,
Be Cool,Mind 2,Book of Shadows page 141; Enlightened Grimoire p. 184,Uncanny Influence,
Being Invisible,"Forces 3, Mind 3",Tradition Book: Hollow Ones (Revised) page 61; Enlightened Grimoire p. 140,Obfuscation,
Betrayal of the Burning Arrow,"Forces 3, Correspondence 1",Tradition Book: Order of Hermes (Revised) page 66; Enlightened Grimoire p. 41,Elemental Magick,
Bewitchment,"Mind 2 or 3, optional Entropy 2 or Life 3",The Swashbuckler’s Handbook page 90; Enlightened Grimoire p. 183,Uncanny Influence,
Binding Song,"Correspondence 4, Time 3",Lost Paths: Ahl-i-Batin and Taftani page 88; Dead Magic 2 page 126; Enlightened Grimoire p. 153,"Summoning, Binding and Warding",
Bio-Luminescence,"Forces 3, Life 3",Tradition Book: Sons of Ether (First Edition) page 64; Enlightened Grimoire p. 177,Transformations,
Biochemical Regulation,Life 3,Technocracy: Progenitors page 44; Enlightened Grimoire p. 177,Transformations,
Biometric Holographic Recreation,"Forces 2, Time 2",Convention Book: Progenitors (Revised) page 72; Enlightened Grimoire p. 30,Divination and Fate,
Black Card/Little Black Box,"Correspondence 2, Forces 2, Mind 2",Mage: The Ascension 20th Anniversary Edition page 601; Enlightened Grimoire p. 21,Computers,
Blade Sense,"Correspondence 1, Matter 1, Life 1",The Swashbuckler’s Handbook page 94; Enlightened Grimoire p. 62,Enhanced Combat,
Blight/Farmer’s Favor,"Life 3, Time 3 or Correspondence 2, Matter 2, optional Spirit 2, Prime 2",Mage: The Sorcerer’s Crusade page 271; Enlightened Grimoire p. 9,Blessings and Curses,
Blood for the Gods,"Spirit 3, Life 2, Prime 1",Dead Magic page 75; Enlightened Grimoire p. 55,Energy-Work,
Blood of the Sacred King,Prime 3,Tradition Book: Verbena (Revised) page 65; Enlightened Grimoire p. 55,Energy-Work,
Body of Light,Prime 2,Mage: The Ascension Revised page 183; Enlightened Grimoire p. 46,Energy-Work,
Body of the Spirit,"Life 3, Spirit 3",Book of Crafts page 135; Enlightened Grimoire p. 116,Movement and Communication,
Bond of Blood,Prime 3,Technocracy: Void Engineers page 46; Mage: The Ascension First Edition page 211; Mage: The Ascension Second Edition page 215; Mage: The Ascension Revised page 183; Enlightened Grimoire p. 49,Energy-Work,
Book of Whispers,"Mind 2, Matter 3, Time 3",Blood Treachery page 88; Enlightened Grimoire p. 25,Divination and Fate,
Boot Buzzer,"Correspondence 2, Forces 2, optional Forces 3, Prime 2",Hidden Lore page 20; Enlightened Grimoire p. 20,Computers,
Brain Boost,Mind 1,Digital Web 2.0 page 114; Enlightened Grimoire p. 177,Transformations,
Brand (the Rawhide Rote),"Entropy 2, Forces 2, Prime 2, optional Time 4",Digital Web 2.0 page 112; Enlightened Grimoire p. 17,Computers,
Branding,Mind 2,Convention Book: Syndicate (Revised) page 72; Enlightened Grimoire p. 184,Uncanny Influence,
Branding the Heart,"Mind 2, Forces 2",Artisan’s Handbook page 52; Enlightened Grimoire p. 77,Healing and Harming,
Breach the Gauntlet,Spirit 4,Mage: The Ascension First Edition page 215; Mage: The Ascension Second Edition page 218; Mage: The Ascension Revised page 189; Enlightened Grimoire p. 112,Movement and Communication,
Break the Dreamshell,Spirit 5,Mage: The Ascension First Edition page 215; Mage: The Ascension Revised page 189; Enlightened Grimoire p. 113,Movement and Communication,
Bridge of Blood,"Spirit 4, Prime 3",Infinite Tapestry page 181; Enlightened Grimoire p. 113,Movement and Communication,
Bug Off,"Life 3, Prime 2",Book of Crafts page 74; Enlightened Grimoire p. 188,Uncanny Influence,
Bullet Catch,"Forces 2, Life 2, Time 2",Mage: The Ascension 20th Anniversary Edition page 607; Enlightened Grimoire p. 61,Enhanced Combat,
Bum a Dollar from the Universe,"Entropy 2, Matter 2",Tradition Book: Hollow Ones (Revised) page 61; Enlightened Grimoire p. 11,Blessings and Curses,
Burn Out,"Forces 2, Entropy 1",Book of Shadows page 145; Enlightened Grimoire p. 20,Computers,
Burn-Out,"Forces 2, Prime 1",World of Darkness: Outcasts page 91; Enlightened Grimoire p. 87,Inanimate Objects,
Buzz,Prime 2,Hidden Lore page 48; Enlightened Grimoire p. 77,Healing and Harming,
Buzzwords,"Entropy 3, Mind 2",Guide to the Technocracy page 209; Enlightened Grimoire p. 11,Blessings and Curses,
Caesar’s Due,"Entropy 2 or Forces 3, Prime 2, Correspondence 3",Tradition Book: Order of Hermes (Revised) page 67; Enlightened Grimoire p. 11,Blessings and Curses,
Call Forth the Forgotten,"Life 5, Prime 2, Spirit 2",Book of Shadows page 147; Enlightened Grimoire p. 156,"Summoning, Binding and Warding",
Call Lightning,Forces 3,Mage: The Ascension First Edition page 195; Mage: The Ascension Second Edition page 199; Enlightened Grimoire p. 39,Elemental Magick,
Call Spirit,Spirit 2,Mage: The Ascension First Edition page 214; Mage: The Ascension Second Edition page 217; Mage: The Ascension Revised page 187; Enlightened Grimoire p. 157,"Summoning, Binding and Warding",
Call the Dreamborn Sibling,Spirit 2,Dead Magic 2 page 63; Enlightened Grimoire p. 157,"Summoning, Binding and Warding",
Calling the Wind Lords,"Forces 2, Spirit 2",Tradition Book: Verbena (First Edition) page 64; Enlightened Grimoire p. 44,Elemental Magick,
Captain's Treasure,"Prime 4, Entropy 2",Digital Web page 99; Enlightened Grimoire p. 22,Computers,
Celestial Prediction,Time 2,Order of Reason page 86; Enlightened Grimoire p. 31,Divination and Fate,
Chain,"Forces 2, Time 1",Mage: The Ascension Second Edition page 189; Artisan’s Handbook page 51; Enlightened Grimoire p. 143,Space-Time Management,
Chain of Whispers,"Mind 3, Correspondence 2",The Swashbuckler’s Handbook page 93; Mage: The Ascension 20th Anniversary Edition page 608; Enlightened Grimoire p. 103,Movement and Communication,
Chaos Butterfly,"Entropy 2, Prime 2, Spirit 2",Blood Treachery page 91; Enlightened Grimoire p. 27,Divination and Fate,
Checklist,Entropy 2 or Prime 5,Convention Book: Void Engineers (Revised) page 85; Enlightened Grimoire p. 95,Miscellaneous,
Chirurgeon,Life 3,Order of Reason page 74; Enlightened Grimoire p. 73,Healing and Harming,
Chronopathy,"Time 2 or 4, Mind 3",Hidden Lore page 16; Enlightened Grimoire p. 31,Divination and Fate,
Cinnabar Tears,"Life 3, Matter 2",Tradition Book: Akashic Brotherhood (Revised) page 67; Enlightened Grimoire p. 69,Healing and Harming,
Circe's Enchantment,Life 5,Tradition Book: Verbena (Revised) page 66; Enlightened Grimoire p. 171,Transformations,
Circle Ward,"Spirit 2, Mind 1, Prime 2",Tradition Book: Verbena (First Edition) page 64; Enlightened Grimoire p. 160,"Summoning, Binding and Warding",
Cloak of Shadows,Entropy 2,Order of Reason page 69; Enlightened Grimoire p. 140,Obfuscation,
Clone,Life 5,Technocracy: Progenitors page 41; Enlightened Grimoire p. 169,Transformations,
Cloning,Life 5,Technocracy: Progenitors page 40; Enlightened Grimoire p. 169,Transformations,
Cloud Cover,Forces 5,Order of Reason page 108; Enlightened Grimoire p. 44,Elemental Magick,
Co-Location,Correspondence 5,Mage: The Ascension First Edition page 188; Mage: The Ascension Second Edition page 191; Mage: The Ascension Revised page 160; Enlightened Grimoire p. 143,Space-Time Management,
Coffin for a Fisher,"Spirit 3, Matter 2",Dead Magic page 26; Enlightened Grimoire p. 131,Necromancy,
Comp Me,Entropy 3 or Mind 2,Tradition Book: Cult of Ecstasy (Revised) page 71; Fallen Tower: Las Vegas pas 119; Enlightened Grimoire p. 185,Uncanny Influence,
Conclave Wellness Works,"Entropy 2, Mind 2, Life 1",Book of Crafts page 88; Enlightened Grimoire p. 67,Healing and Harming,
Conference Call,"Correspondence 4, Forces 4, Prime 2",Technocracy: Syndicate page 49; Enlightened Grimoire p. 143,Space-Time Management,
Conjure the Jade Warrior,"Spirit 5, Matter 3, Prime 3",Book of Crafts page 135; Enlightened Grimoire p. 157,"Summoning, Binding and Warding",
Contingent Effect,Time 4,Mage: The Ascension Revised page 193; Enlightened Grimoire p. 46,Energy-Work,
Cool Glamour,Mind 2,Tradition Book: Hollow Ones (Revised) page 62; Enlightened Grimoire p. 185,Uncanny Influence,
Coordinated Fire,"Correspondence 1, Mind 2, Time 1",Convention Book: Void Engineers (Revised) page 85; Enlightened Grimoire p. 59,Enhanced Combat,
Coordination,"Correspondence 3, Mind 3",Guide to the Technocracy page 206; Enlightened Grimoire p. 189,Uncanny Influence,
Core Dump,"Correspondence 2, Time 2, Forces 3 or Mind 3",Tradition Book: Virtual Adepts (Revised) page 64; Enlightened Grimoire p. 22,Computers,
Correspondence Sensing,Correspondence 2,Mage: The Ascension First Edition page 185; Mage: The Ascension Revised page 159; Enlightened Grimoire p. 33,Divination and Fate,
Corrupt Text,"Matter 2, optional Mind 2, optional Entropy 3",Lost Paths: Ahl-i-Batin and Taftani page 88; Enlightened Grimoire p. 106,Movement and Communication,
Counter-Irritant,Life 2,Dead Magic page 27; Enlightened Grimoire p. 77,Healing and Harming,
Counterintelligence,"Matter 2, Spirit 2, optional Prime 2",Technocracy: New World Order page 44; Convention Book: New World Order (Revised) page 87; Tradition Book: Sons of Ether (Revised) page 61; Enlightened Grimoire p. 160,"Summoning, Binding and Warding",
Counterspell Rune,Prime 3,Dead Magic 2 page 98; Enlightened Grimoire p. 46,Energy-Work,
Courtesan’s Draught/Blessed Heir,"Life 2 or 3, optional Correspondence 2",The Swashbuckler’s Handbook page 90; Enlightened Grimoire p. 169,Transformations,
Craft Tome,"Entropy 3, Mind 1",Order of Reason page 89; Enlightened Grimoire p. 107,Movement and Communication,
Cram Session,"Time 3, Mind 1",Guide to the Technocracy page 216; Enlightened Grimoire p. 125,Mystic Perception,
Create Talen,"Spirit 3, optional Prime 2",The Spirit Ways page 90; Enlightened Grimoire p. 89,Inanimate Objects,
Create Virtual Object/Create Daemon,"Forces 3, Prime 2, optional Mind 4, optional Spirit 4","Digital Web page 98 (Object), 99 (Daemon); Digital Web 2.0 page 114; Enlightened Grimoire p. 17",Computers,
Crime and Consequence,"Mind 2, Time 2",Tradition Book: Cult of Ecstasy (Revised) page 72; Enlightened Grimoire p. 31,Divination and Fate,
Crowdsourced Combat,"Correspondence 2, Forces 1, Mind 1",Convention Book: Syndicate (Revised) page 72; Enlightened Grimoire p. 57,Enhanced Combat,
Cry of Distress,Mind 3,Order of Reason page 79; Enlightened Grimoire p. 103,Movement and Communication,
Cuicuilco's Demise,"Forces 5, Matter 4",Dead Magic page 74; Enlightened Grimoire p. 39,Elemental Magick,
Cup of Joe,Prime 3,Tradition Book: Hollow Ones (Revised) page 62; Enlightened Grimoire p. 51,Energy-Work,
Curse of Macha,Life 2,Tradition Book: Verbena (Revised) page 66; Enlightened Grimoire p. 77,Healing and Harming,
Curse of the Mayfly,"Mind 3, Life 3; Entropy 4, Life 4",Mage: The Ascension First Edition page 222; Enlightened Grimoire p. 71,Healing and Harming,
Cycle of the Five Agents,"Forces 3, Matter 2, Prime 2",Dragons of the East page 59; Enlightened Grimoire p. 37,Elemental Magick,
Cypher Wheel,"Mind 1 or Entropy 1, optional Matter 2",Order of Reason page 77; Enlightened Grimoire p. 107,Movement and Communication,
Daedalean Labyrinth,Correspondence 5,Order of Reason page 107; Enlightened Grimoire p. 148,Space-Time Management,
Daedalus Gateway,"Correspondence 4, Mind 3",Technocracy: New World Order page 49; Enlightened Grimoire p. 111,Movement and Communication,
Danse Macabre,Entropy 1,Order of Reason page 69; Enlightened Grimoire p. 119,Mystic Perception,
Dark Streets,"Entropy 2, Forces 2",Tradition Book: Hollow Ones (Revised) page 62; Enlightened Grimoire p. 140,Obfuscation,
Death Ray,"Entropy 4 or Forces 3, Prime 2, optional Time 3",Tradition Book: Sons of Ether (Revised) page 60; Enlightened Grimoire p. 63,Enhanced Combat,
Death Song,"Life 2, Time 2, Prime 1, Mind 1",Tradition Book: Celestial Chorus page 64; Enlightened Grimoire p. 103,Movement and Communication,
Death’s Passage,"Entropy 4, Spirit 3, Life 2",The Swashbuckler’s Handbook page 93; Enlightened Grimoire p. 109,Movement and Communication,
Deduction,"Life 1, Mind 1",Hidden Lore page 18; Enlightened Grimoire p. 125,Mystic Perception,
Deep Umbra Travel,Spirit 5,Mage: The Ascension First Edition page 215; Mage: The Ascension Second Edition page 219; Mage: The Ascension Revised page 189; Enlightened Grimoire p. 113,Movement and Communication,
Defense Screen Versus Higher Lifeforms,Life 3,Technocracy: Void Engineers page 43; Enlightened Grimoire p. 160,"Summoning, Binding and Warding",
Defense Screen Versus Lower Lifeforms,Life 2,Technocracy: Void Engineers page 43; Enlightened Grimoire p. 160,"Summoning, Binding and Warding",
Degree Absolute,"Mind 5, Correspondence 4",Technocracy: New World Order page 50; Enlightened Grimoire p. 77,Healing and Harming,
Deity Form,"Forces 3, Life 4, Prime 4, Spirit 2, optional Entropy 5",Dead Magic 2 page 80; Enlightened Grimoire p. 171,Transformations,
Delay Paradox,"Prime 3, Spirit 3, Time 3",Lost Paths: Ahl-i-Batin and Taftani page 89; Enlightened Grimoire p. 51,Energy-Work,
Delirium,"Correspondence 2, Forces 3, Mind 3, Prime 2",Orphan’s Survival Guide page 128; Tradition Book: Virtual Adepts (First Edition) page 62; Enlightened Grimoire p. 191,Uncanny Influence,
Destroy Structures,Matter 3,Mage: The Ascension First Edition page 203; Mage: The Ascension Second Edition page 206; Mage: The Ascension Revised page 173; Enlightened Grimoire p. 95,Miscellaneous,
Destructive Genegineering,"Entropy 3, Life 3",Convention Book: Progenitors (Revised) page 73; Enlightened Grimoire p. 71,Healing and Harming,
Detect Possession,Spirit 1,Mage: The Ascension Second Edition page 217; Mage: The Ascension Revised page 187; Enlightened Grimoire p. 155,"Summoning, Binding and Warding",
Devouring Gullet of Flame,"Forces 4, Prime 2",Lost Paths: Ahl-i-Batin and Taftani page 87; Enlightened Grimoire p. 41,Elemental Magick,
Digital Disruption,"Forces 2, Prime 2, optional Entropy 2",Digital Web page 98 (as Joshua’s Goodbye); Digital Web 2.0 page 112; Enlightened Grimoire p. 17,Computers,
Dim Mak,Entropy 1,Mage: The Ascension First Edition page 191; Mage: The Ascension Second Edition page 193; Enlightened Grimoire p. 121,Mystic Perception,
Dimension Bomb,Spirit 2,Guide to the Technocracy page 207; Order of Reason page 85; Enlightened Grimoire p. 151,"Summoning, Binding and Warding",
Dingo's Touch,"Entropy 1, Forces 2",Dead Magic 2 page 63; Enlightened Grimoire p. 102,Movement and Communication,
Dionysus's Gift,"Life 4 or 5, optional Matter 3, optional Forces 3",Tradition Book: Cult of Ecstasy (First Edition) page 66; Enlightened Grimoire p. 171,Transformations,
Distant Sight,"Correspondence 2, optional Time 2",The Swashbuckler’s Handbook page 91; Enlightened Grimoire p. 34,Divination and Fate,
Distill the Azoth Elixir,"Life 5, Prime 3, Matter 2",Tradition Book: Order of Hermes (First Edition) page 67; Enlightened Grimoire p. 73,Healing and Harming,
Distort Time,Time 3,Mage: The Ascension Revised page 193; Enlightened Grimoire p. 146,Space-Time Management,
Divert Prime Force,Prime 2,Technocracy: Void Engineers page 45; Enlightened Grimoire p. 46,Energy-Work,
Divided Sight,Correspondence 3,Mage: The Ascension First Edition page 186; Mage: The Ascension Second Edition page 190; Enlightened Grimoire p. 34,Divination and Fate,
Divinations,Time 2,Mage: The Ascension Revised page 192; Enlightened Grimoire p. 31,Divination and Fate,
DMSO,"Life 3, Matter 3, Prime 3",Convention Book: Progenitors (Revised) page 73; Enlightened Grimoire p. 69,Healing and Harming,
Doe's Password,"Mind 3, Entropy 2",Digital Web page 98; Enlightened Grimoire p. 17,Computers,
Dogon Divination,"Time 2, Entropy 1",Dead Magic page 27; Enlightened Grimoire p. 27,Divination and Fate,
Don't Cross the Streams,"Correspondence 2, Time 2",Tradition Book: Virtual Adepts (Revised) page 64; Enlightened Grimoire p. 31,Divination and Fate,
Dontcme,"Mind 2, Prime 2",Initiates of the Art page 81; Hidden Lore page 18; Enlightened Grimoire p. 139,Obfuscation,
Dousing,"Life 1, Correspondence 1",Tradition Book: Verbena (First Edition) page 64; Enlightened Grimoire p. 44,Elemental Magick,
Download Specialization,Time 3,Technocracy: New World Order page 48; Enlightened Grimoire p. 128,Mystic Perception,
Downvote,"Correspondence 3, Entropy 3",Convention Book: Syndicate (Revised) page 73; Enlightened Grimoire p. 137,Obfuscation,
Downward Spiral,"Mind 3, optional Correspondence 2",Lost Paths: Ahl-i-Batin and Taftani page 42; Enlightened Grimoire p. 190,Uncanny Influence,
Dowsing,"Correspondence 2, Forces 2, Matter 1",Lost Paths: Ahl-i-Batin and Taftani page 43; Enlightened Grimoire p. 44,Elemental Magick,
Dragon Fist,"Life 3, Prime 2, optional Forces 3",Book of Shadows page 147; Enlightened Grimoire p. 61,Enhanced Combat,
Dragonstorm,"Forces 4 or 5, Prime 4 or 5",Mage: The Sorcerer’s Crusade page 273; Enlightened Grimoire p. 41,Elemental Magick,
Drahma Protector,"Life 2, Matter 2, Time 2",Tradition Book: Akashic Brotherhood (Revised) page 69; Enlightened Grimoire p. 154,"Summoning, Binding and Warding",
Drain Node,Prime 4,Technocracy: Void Engineers page 46; Enlightened Grimoire p. 49,Energy-Work,
Drain Tass,Prime 3,Order of Reason page 83; Enlightened Grimoire p. 51,Energy-Work,
Dream Drama,"Forces 2, Mind 3, optional Correspondence 2",Tradition Book: Order of Hermes (First Edition) page 64; Enlightened Grimoire p. 190,Uncanny Influence,
Dream Locus,"Spirit 2, Matter 1",Mage: The Ascension First Edition page 227; Enlightened Grimoire p. 113,Movement and Communication,
Dream Play,"Mind 3, Prime 2, Time 2",Tradition Book: Hollow Ones (Revised) page 67; Enlightened Grimoire p. 191,Uncanny Influence,
Dreamborn Rising,"Life 4, Matter 4, Mind 3, Spirit 2",Dead Magic 2 page 63; Enlightened Grimoire p. 157,"Summoning, Binding and Warding",
Drums of Elemental Fire,"Spirit 2, Forces 2, Matter 2",Mage: The Ascension First Edition page 227; Enlightened Grimoire p. 157,"Summoning, Binding and Warding",
Eagle Eye,"Correspondence 2, Life 1",Book of Shadows page 138; Enlightened Grimoire p. 119,Mystic Perception,
Eagle Form,"Mind 4, Spirit 2",Dead Magic 2 page 128; Enlightened Grimoire p. 172,Transformations,
Ear of Dionysus,Forces 1,Mage: The Ascension Second Edition page 198; Mage: The Ascension Revised page 166; Enlightened Grimoire p. 123,Mystic Perception,
Ease of Passage,Life 4,Book of Crafts page 89; Enlightened Grimoire p. 73,Healing and Harming,
Electrical Chaos,"Forces 3, Correspondence 2, Prime 2",Mage: The Ascension Revised page 166; Enlightened Grimoire p. 40,Elemental Magick,
Embracing the Earth Mother,Forces 4,Mage: The Ascension First Edition page 196; Mage: The Ascension Second Edition page 199; Mage: The Ascension Revised page 167; Enlightened Grimoire p. 39,Elemental Magick,
Empathic Projection,Mind 2,Mage: The Ascension Revised page 176; Enlightened Grimoire p. 185,Uncanny Influence,
Enchant Weapon,Prime 2,Mage: The Ascension Second Edition page 214; Mage: The Ascension Revised page 183; Enlightened Grimoire p. 89,Inanimate Objects,
Encode,"Correspondence 2, Life 2 or Matter 2, Prime 2",Tradition Book: Virtual Adepts (Revised) page 65; Enlightened Grimoire p. 17,Computers,
Encrypt,"Mind 3 or Forces 3, Time 3",Tradition Book: Virtual Adepts (Revised) page 65; Enlightened Grimoire p. 22,Computers,
Encrypt Thoughts,"Mind 1, Life 1, Prime 2",Tradition Book: Virtual Adepts (First Edition) page 61; Enlightened Grimoire p. 137,Obfuscation,
Endless Parchment,"Life 3, Prime 2",Infernalism: The Path of Screams page 86; Enlightened Grimoire p. 77,Healing and Harming,
Energy Shield,Forces 2,Mage: The Ascension Revised page 166; Enlightened Grimoire p. 141,Obfuscation,
Energy Transformation,"Life 4, Forces 2, Correspondence 1",Digital Web page 98; Enlightened Grimoire p. 17,Computers,
Ensure the Endless Sleep,Spirit 4,Dead Magic 2 page 64; Tradition Book: Order of Hermes (First Edition) page 66; Enlightened Grimoire p. 154,"Summoning, Binding and Warding",
Enter the Sauna,Spirit 2,Dead Magic 2 page 126; Enlightened Grimoire p. 157,"Summoning, Binding and Warding",
Erode Matter,Entropy 3,Mage: The Ascension First Edition page 193; Enlightened Grimoire p. 87,Inanimate Objects,
Establish and Exchange Temporal Event Fields,Time 5,Technocracy: Void Engineers page 47; Enlightened Grimoire p. 146,Space-Time Management,
Establish Local Temporal Event Field,Time 4,Technocracy: Void Engineers page 46; Enlightened Grimoire p. 146,Space-Time Management,
Eternal Discipline of the Family,"Spirit 4, Prime 4, Mind 2, Entropy 2",Dragons of the East page 67; Enlightened Grimoire p. 135,Necromancy,
Evaluation,Matter 1,Technocracy: Void Engineers page 44; Enlightened Grimoire p. 84,Inanimate Objects,
Exalted Desire,"Life 4, Mind 2, Prime 2",Hidden Lore page 50; Enlightened Grimoire p. 183,Uncanny Influence,
Examine Humors,"Life 1, optional Mind 2",Order of Reason page 73; Enlightened Grimoire p. 67,Healing and Harming,
